uid,ranking,uniname,Total Score,alumni,award,HiCi,N&S,PUB,PCP
1,1,Harvard University,100,100,100,100,100,100,76.6
2,2,Stanford University,73.3,40.7,89.6,80.1,70.1,70.6,53.8
3,3,Massachusetts Institute of Technology (MIT),70.4,68.2,80.7,60.6,73.1,61.1,68
4,4,"University of California, Berkeley",69.6,65.1,79.4,66.1,65.6,67.9,56.5
5,5,University of Cambridge,68.8,77.1,96.6,50.8,55.6,66.4,55.8
6,6,Princeton University,61,53.3,93.4,57.1,43,42.4,70.3
7,7,California Institute of Technology,59.6,49.5,66.7,49.3,56.4,44,100
8,8,Columbia University,58.8,63.5,65.9,52.1,51.9,68.8,33.2
9,9,University of Chicago,57.1,59.8,86.3,49,42.9,49.8,42
10,10,University of Oxford,56.6,49.7,54.9,52.3,51.9,70.9,43.1
11,11,Yale University,54.5,47.6,50.4,51,58.8,63,37.8
12,12,"University of California, Los Angeles",50.7,29.5,47.1,52.3,47.2,70.7,31.6
13,13,Cornell University,50.5,42,49.8,50.4,45.3,59.9,40.2
14,14,"University of California, San Diego",48.7,19.2,35.5,56.6,55.1,62.9,36.6
15,15,University of Washington,47.8,21.2,31.6,53,51.7,71.9,29.3
16,16,Johns Hopkins University,46.3,37.7,33.6,44,44.9,70.2,28.8
17,17,University of Pennsylvania,46.1,31.6,33.8,49.6,39.6,67.7,37.4
18,18,University College London,44.5,28.1,36.2,38.5,40.6,71.7,32.7
19,18,"University of California, San Francisco",44.5,0,39.9,46.8,53.5,59.5,34.9
20,20,Swiss Federal Institute of Technology Zurich,43.7,29.5,35.5,38.4,45.9,55.7,46.3
21,21,The University of Tokyo,42,30.8,14.1,41.9,48.6,70.8,28.8
22,22,University of Michigan-Ann Arbor,41.7,34.4,0,56.2,41.3,75.9,25.6
23,23,"The Imperial College of Science, Technology and Medicine",41.5,14.5,35.8,44.2,34.5,62,38
24,24,University of Wisconsin - Madison,41.1,30.8,34.8,40.2,35.7,62.5,24.6
25,25,University of Toronto,40.6,19.9,17.2,38.8,38.6,79.1,29.3
26,26,Kyoto University,38.9,31.6,37.2,33.6,32.6,59,23.5
27,27,New York University,38.8,28.1,31.9,35.2,40.3,56.2,23.3
28,27,Northwestern University,38.8,15.4,22.1,50.3,37,58.1,28.8
29,29,University of Illinois at Urbana-Champaign,38.6,29.9,36.2,34.9,32.4,55.5,28.6
30,30,"University of Minnesota, Twin Cities",38.5,29.5,16.3,47.3,32.5,64,26.2
31,31,Duke University,38,15.4,14.9,50.2,39,61.7,23.9
32,32,Washington University in St. Louis,37.4,22.9,24.9,40.7,41.8,50.5,26
33,33,Rockefeller University,36.5,17,59.8,30.3,40.9,19,39.6
34,34,University of Colorado at Boulder,36,12.6,34.1,37.1,36,45,34.2
35,35,University of Copenhagen,35.7,21.8,18.8,28,34,63.2,39.2
36,36,Pierre and Marie  Curie University - Paris 6,35,33.6,27.4,25.8,29.8,59.2,23.9
37,37,The University of Texas at Austin,34.8,16.2,16.3,38.6,37.5,56,26.6
38,38,"University of California, Santa Barbara",34.6,14.5,39.1,38.7,27.5,37.3,38
39,39,University of North Carolina at Chapel Hill,34.4,8.9,16.3,39.8,33.5,61.2,25.6
40,40,University of British Columbia,34.1,15.4,18.8,32.8,32,63,24.2
41,41,The University of Manchester,33.6,18.5,32.6,27.1,26.1,56.2,25.6
42,41,University of Paris-Sud (Paris 11),33.6,30.3,54.3,16.8,17.4,47.3,26.6
43,43,"University of Maryland, College Park",32.8,19.2,20,33,31.6,52.7,26.5
44,44,The University of Melbourne,32.3,17,13.3,28.6,25.3,66.9,30.2
45,44,The University of Texas Southwestern Medical Center at Dallas,32.3,18.5,34.5,31.1,35.6,35.8,22.4
46,46,Heidelberg University,32.2,19.9,25.3,23.7,29.4,51.7,34.2
47,47,The University of Edinburgh,32,20.5,24.9,25.8,30.5,51.9,25.9
